"X","Ticker.Symbol","Period.Ending","After.Tax.ROE","Capital.Expenditures","Cash.Ratio","Cash.and.Cash.Equivalents","Current.Ratio","Depreciation","Gross.Margin","Gross.Profit","Interest.Expense","Investments","Liabilities","Long.Term.Debt","Long.Term.Investments","Net.Cash.Flow","Net.Income","Operating.Income","Operating.Margin","Profit.Margin","Quick.Ratio","Research.and.Development","Total.Assets","Total.Equity","Total.Liabilities","Earnings.Per.Share","Estimated.Shares.Outstanding"
2,"AAL","2014-12-31",143,-5.311e+09,60,1.768e+09,88,1.342e+09,63,2.703e+10,8.87e+08,1.799e+09,-1.026e+09,1.6043e+10,0,-1.46e+08,2.882e+09,4.249e+09,10,7,80,0,4.3225e+10,2.021e+09,4.1204e+10,4.02,716915422.886
3,"AAL","2015-12-31",135,-6.151e+09,51,1.085e+09,73,1.487e+09,73,2.9894e+10,8.8e+08,4.43e+08,-6.33e+08,1.833e+10,0,-6.04e+08,7.61e+09,6.204e+09,15,19,67,0,4.8415e+10,5.635e+09,4.278e+10,11.39,668129938.543
14,"ABBV","2014-12-31",102,-6.12e+08,74,8.348e+09,141,7.86e+08,78,1.5534e+10,3.91e+08,3.08e+08,-1.93e+08,1.0538e+10,9.2e+07,-1.247e+09,1.774e+09,3.411e+09,17,9,131,3.297e+09,2.7513e+10,1.742e+09,2.5771e+10,1.11,1598198198.2
15,"ABBV","2015-12-31",130,-5.32e+08,77,8.399e+09,150,8.36e+08,80,1.8359e+10,6.86e+08,2.9e+07,1.503e+09,2.924e+10,1.45e+08,5.1e+07,5.144e+09,7.537e+09,33,23,134,4.285e+09,5.305e+10,3.945e+09,4.9105e+10,3.15,1633015873.02
22,"ABT","2014-12-31",11,-1.077e+09,43,4.063e+09,130,1.548e+09,54,1.1029e+10,1.5e+08,4.117e+09,-2.8e+07,3.393e+09,2.29e+08,5.88e+08,2.284e+09,2.599e+09,13,11,104,1.345e+09,4.1207e+10,2.1526e+10,1.9681e+10,1.5,1522666666.67
23,"ABT","2015-12-31",21,-1.11e+09,67,5.001e+09,154,1.472e+09,57,1.1658e+10,1.63e+08,-8.21e+08,2.15e+08,5.871e+09,4.041e+09,9.38e+08,4.423e+09,2.867e+09,14,22,126,1.405e+09,4.1247e+10,2.1211e+10,2.0036e+10,2.94,1504421768.71
34,"ADM","2014-12-31",11,-8.94e+08,42,5.976e+09,167,8.94e+08,6,4.768e+09,3.37e+08,-1.05e+08,1.276e+09,5.528e+09,4.377e+09,-2.022e+09,2.248e+09,2.756e+09,3,3,107,0,4.3997e+10,1.9575e+10,2.4367e+10,3.44,653488372.093
35,"ADM","2015-12-31",10,-1.125e+09,49,6.124e+09,162,8.82e+08,6,4.02e+09,3.08e+08,3.5e+07,-1.693e+09,5.779e+09,4.34e+09,-1.89e+08,1.849e+09,1.81e+09,3,3,101,0,4.0157e+10,1.7899e+10,2.2242e+10,2.99,618394648.829
38,"ADS","2014-12-31",21,-158694000,25,1597492000,219,349810000,31,1658961000,260526000,-2379208000,188052000,8134248000,0,107330000,506293000,1098467000,21,10,219,0,20263977000,2396380000,17867597000,8.72,58061123.8532
39,"ADS","2015-12-31",30,-191683000,25,1624601000,254,524467000,30,1957046000,330184000,-2899032000,98026000,10136018000,0,90885000,596541000,1261860000,20,9,254,0,22421830000,2010030000,20411800000,8.91,66951851.8519
