Ticker.Symbol,Sector,After.Tax.ROE,Capital.Expenditures,Cash.Ratio,Cash.and.Cash.Equivalents,Current.Ratio,Depreciation,Gross.Margin,Gross.Profit,Interest.Expense,Investments,Liabilities,Long.Term.Debt,Long.Term.Investments,Net.Cash.Flow,Net.Income,Operating.Income,Operating.Margin,Profit.Margin,Quick.Ratio,Research.and.Development,Total.Assets,Total.Equity,Total.Liabilities,Earnings.Per.Share,Estimated.Shares.Outstanding,wide$percent_change,Returns
AAL,Industrials,135,-6.15E+09,51,1.09E+09,73,1.49E+09,73,2.99E+10,8.80E+08,4.43E+08,-6.33E+08,1.83E+10,0,-6.04E+08,7.61E+09,6.20E+09,15,19,67,0,4.84E+10,5.64E+09,4.28E+10,11.39,668129938.5,-0.210330091,Low
ABBV,Health Care,130,-5.32E+08,77,8.40E+09,150,8.36E+08,80,1.84E+10,6.86E+08,2.90E+07,1.50E+09,2.92E+10,1.45E+08,5.10E+07,5.14E+09,7.54E+09,33,23,134,4.29E+09,5.31E+10,3.95E+09,4.91E+10,3.15,1633015873,-0.094743273,Low
ABT,Health Care,21,-1.11E+09,67,5.00E+09,154,1.47E+09,57,1.17E+10,1.63E+08,-8.21E+08,2.15E+08,5.87E+09,4.04E+09,9.38E+08,4.42E+09,2.87E+09,14,22,126,1.41E+09,4.12E+10,2.12E+10,2.00E+10,2.94,1504421769,-0.002443359,High
ADM,Consumer Staples,10,-1.13E+09,49,6.12E+09,162,8.82E+08,6,4.02E+09,3.08E+08,3.50E+07,-1.69E+09,5.78E+09,4.34E+09,-1.89E+08,1.85E+09,1.81E+09,3,3,101,0,4.02E+10,1.79E+10,2.22E+10,2.99,618394648.8,-0.294615385,Low
ADS,Information Technology,30,-191683000,25,1624601000,254,524467000,30,1957046000,330184000,-2899032000,98026000,10136018000,0,90885000,596541000,1261860000,20,9,254,0,22421830000,2010030000,20411800000,8.91,66951851.85,-0.033140994,High
AEE,Utilities,9,-1.92E+09,14,2.92E+08,92,8.96E+08,43,2.60E+09,3.55E+08,-2.00E+06,-9.10E+07,6.88E+09,5.56E+08,2.87E+08,6.36E+08,1.26E+09,21,10,66,0,2.36E+10,6.95E+09,1.67E+10,2.6,244615384.6,-0.062865834,Low
AKAM,Information Technology,10,-311676000,225,289473000,377,318088000,67,1471828000,18525000,153060000,54503000,624288000,774674000,50823000,321406000,466150000,21,15,377,148591000,4187925000,3120878000,1067047000,1.8,178558888.9,-0.164072398,Low
ALB,Materials,10,-227649000,13,213734000,113,260076000,33,1196872000,132722000,3154000,-73151000,3174674000,455417000,-2276034000,334906000,442435000,12,9,82,102871000,9615014000,3254392000,6360622000,3.01,111264451.8,-0.068518259,Low
ALK,Industrials,35,-8.31E+08,74,7.30E+07,92,3.20E+08,65,3.66E+09,8.00E+06,-1.52E+08,1.31E+08,5.71E+08,0,-3.40E+07,8.48E+08,1.30E+09,23,15,89,0,6.53E+09,2.41E+09,4.12E+09,6.61,128290469,0.347222301,High
ALLE,Industrials,601,-35200000,45,199700000,164,53200000,42,869100000,52900000,12300000,-17200000,1457500000,0,-90800000,153900000,358600000,17,7,119,0,2.26E+09,25600000,2237400000,1.6,96187500,0.188604385,High
ALXN,Health Care,2,-2.86E+08,195,1.01E+09,341,1.67E+08,91,2.37E+09,4.80E+07,6.35E+08,-1.54E+08,3.41E+09,0,6.60E+07,1.44E+08,5.37E+08,21,6,300,7.09E+08,1.31E+10,8.26E+09,4.84E+09,0.68,211764705.9,0.030913911,High
AME,Industrials,18,-69083000,37,381005000,158,149460000,36,1425015000,91795000,0,-75009000,1556045000,180775000,3390000,590859000,907716000,23,15,108,0,6664530000,3254626000,3409904000,2.46,240186585.4,0.018240528,High
AMGN,Health Care,25,-5.94E+08,362,4.14E+09,445,2.11E+09,80,1.74E+10,1.10E+09,-4.42E+09,8.99E+08,2.92E+10,0,4.13E+08,6.94E+09,8.47E+09,39,32,416,4.07E+09,7.14E+10,2.81E+10,4.34E+10,9.15,758360655.7,0.019084746,High
AMT,Real Estate,10,-728753000,39,462879000,83,1292260000,73,3462648000,595949000,9504000,150984000,17068807000,732903000,7194000,685074000,1612789000,34,14,83,0,26904272000,6651679000,20252593000,1.42,482446478.9,-0.019221052,High
AMZN,Consumer Discretionary,4,-4.59E+09,58,1.59E+10,105,6.28E+09,33,3.54E+10,4.59E+08,-1.07E+09,1.26E+10,8.23E+09,0,1.33E+09,5.96E+08,2.23E+09,2,1,75,0,6.47E+10,1.34E+10,5.14E+10,1.28,465625000,1.177831487,High
AN,Consumer Discretionary,19,-247600000,1,74100000,91,132100000,16,3261500000,149200000,-10200000,566700000,1745300000,0,-1300000,442600000,873100000,4,2,21,0,9548200000,2349300000,7198900000,3.93,112620865.1,-0.012415163,High
APA,Energy,917,-5.18E+09,80,1.47E+09,204,2.95E+10,68,4.32E+09,2.99E+08,1.25E+09,-5.07E+08,8.78E+09,0,6.98E+08,-2.35E+10,-2.79E+10,437,369,173,0,1.88E+10,2.57E+09,1.63E+10,-61.2,384444444.4,-0.290410046,Low
APC,Energy,52,-6.07E+09,22,9.39E+08,95,4.60E+09,63,5.51E+09,8.25E+08,-3.00E+06,-6.21E+09,1.56E+10,0,-6.43E+09,-6.69E+09,-8.81E+09,101,77,95,0,4.63E+10,1.28E+10,3.35E+10,-13.18,507738998.5,-0.411151491,Low
APH,Industrials,24,-172100000,175,1737200000,382,171600000,32,1779500000,68300000,335900000,35400000,2813200000,0,768300000,763500000,1104700000,20,14,297,0,7458400000,3238500000,4219900000,2.47,309109311.7,-0.02936259,High
